번호,도서명,글,그림,출판사
30,너는 어떤 씨앗이니,최숙희,최숙희,책읽는곰
29,너는 기적이야,최숙희,최숙희,책읽는곰
28,나는 개다,백희나,백희나,책읽는곰
27,알사탕,백희나,백희나,책읽는곰
26,이상한 엄마,백희나,백희나,책읽는곰
25,콧구멍을 탈출한 코딱지 코지,허정윤,허정윤,RHK주니어
24,첫 눈을 기다리는 코딱지 코지,허정윤,허정윤,RHK주니어
23,코딱지 코지,허정윤,허정윤,RHK주니어
22,네가 만들어갈 경이로운 인생들,에밀리 윈필드 마틴,에밀리 윈필드 마틴,레드스톤
21,42가지마음의색깔,크리스티나 누녜스 페레이라,크리스티나 누녜스 페레이라,레드스톤
16,엄마랑 뽀뽀,김동수,김동수,보림
17,응가하자_끙끙,최민오,최민오,보림
18,숲으로 간 몬스터,스티키몬스터랩,스티키몬스터랩,보림
19,감기걸린날,김동수,김동수,보림
20,뿅가맨,윤지희,윤지희,보림
11,두드려보아요,안나 클라라 티돌름,안나 클라라 티돌름,사계절
12,감기 걸린 물고기,박정섭,박정섭,사계절
13,간질간질,서현 저,서현 저,사계절
14,커졌다,서현,서현,사계절
15,봉지공주와 봉투왕자,이영경,이영경,사계절
6,꼬마악어 타코,전이수,전이수,엘리
7,100개의 달과 아기 공룡,이덕화,이덕화,스콜라
8,우리는 언제나 다시 만나,윤여림,안녕달,스콜라
9,눈물바다,서현,서현,사계절
10,두더지의 고민,김상근,김상근,사계절



0,나는 나의 주인,채인선,안은진,토토북
1,나의 행복한 하루,공병호,천소,토토북
2,어느멋진날,윤정미,윤정미,재능교육
3,감귤기차,김지안,김지안,재능교육
4,새로운 가족,전이수,전이수,엘리
5,걸어가는 늑대들,전이수,전이수,엘리
